Theme: Households,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,
Topic: Average and Median Household Employment Income,,,,,,,,,,,,
"Table Title: Average and Median Monthly Household Employment Income (Including Employer CPF Contributions) Among Resident and Resident Employed Households, 2000 - 2024 (Household Employment Income, Annual)",,,,,,,,,,,,
,,,,,,,,,,,,
Data last updated: 13/02/2025,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Dollar,,,,,,,,
Year,Resident Households,,Resident Employed Households,,,,,,,,,
,Average,Median1/,Average,Median1/,,,,,,,,
2024,12547,9541,14542,11297,,1.02389511,,,12846.81195,9768.983245,14889.48269,11566.94306
2023,12178,9329,13958,10869,,1.07326188,,,13070.18318,10012.46008,14980.58933,11665.28338
2022,11480,8615,13124,10099,,1.138956884,,,13075.22503,9812.113559,14947.67015,11502.32558
2021,10832,8220,12276,9520,,1.165208241,,,12621.53567,9578.011744,14304.09637,11092.78246
2020,10608,7744,12235,9189,,1.163088533,,,12338.04316,9006.957603,14230.38821,10687.62053
2019,10750,7981,12386,9425,,1.169663014,,,12573.8774,9335.080517,14487.44609,11024.07391
2018,10664,7955,12137,9293,,1.174793392,,,12527.99673,9345.48143,14258.46739,10917.35499
2017,10610,7850,12027,9023,,1.18156326,,,12536.38618,9275.271588,14210.66132,10661.24529
2016,10336,7748,11589,8846,,1.175274168,,,12147.6338,9106.024251,13620.25233,10396.47529
2015,10394,7733,11510,8666,,1.169131971,,,12151.95771,9040.897535,13456.70899,10131.69766
2014,9982,7320,11143,8292,,1.181117305,,,11789.91294,8645.778671,13161.19013,9793.824691
2013,9481,7030,10469,7872,,1.208975187,,,11462.29374,8499.095562,12656.76123,9517.052669
2012,9394,6772,10348,7566,,1.264293088,,,11876.76927,8561.792791,13082.90487,9565.641503
2011,8722,6307,9618,7037,,1.330640577,,,11605.84711,8392.35012,12798.10107,9363.717741
2010,7812,5600,8726,6342,,1.368213361,,,10688.48277,7661.99482,11939.02979,8677.209134
2009,7410,5360,8195,6006,,1.376377767,,,10198.95925,7377.384832,11279.4158,8266.524869
2008,7691,5492,8414,6100,,1.467601082,,,11287.31992,8060.065142,12348.3955,8952.366599
2007,6790,4846,7431,5362,,1.498492324,,,10174.76288,7261.693802,11135.29646,8034.915842
2006,6181,4430,6792,4952,,1.512921333,,,9351.366761,6702.241506,10275.7617,7491.986442
2005,5934,4270,6593,4831,,1.519352857,,,9015.839852,6487.636699,10017.09339,7339.993651
2004,5666,4066,6285,4552,,1.54461555,,,8751.791706,6280.406826,9707.908732,7031.089984
2003,5670,4071,6276,4612,,1.552460734,,,8802.452363,6320.067649,9743.243568,7159.948906
2002,5667,4096,6229,4590,,1.546380105,,,8763.336053,6333.972909,9632.401672,7097.884681
2001,5972,4363,6417,4716,,1.561800576,,,9327.073037,6814.135911,10022.07429,7365.451514
2000,5436,4000,5947,4398,,1.583066426,,,8605.549091,6332.265703,9414.496034,6962.326141
,,,,,,,,,,,,
,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,
1/ Based on ranking of all resident households/ resident employed households by their monthly household employment income (including employer CPF contributions).,,,,,,,,,,,,
,,,,,,,,,,,,
Household Employment Income:,,,,,,,,,,,,
"Refers to the sum of income received by employed members of the household from employment and business excluding the income of live-in domestic workers. Monthly household employment income includes one-twelfth of the annual bonus. Data on household employment income refer to household employment income before accounting for Government transfers and taxes, unless stated otherwise. As the income data pertain to employment income , the coverage of households is based on resident employed households. Data on household income are based on the sample of households surveyed in the June Comprehensive Labour Force Surveys conducted by the Ministry of Manpower every year, except for 2000, 2005, 2010 and 2020 which are based on the Censuses of Population and the mid-decade General Household Survey. The income estimates are based on income as reported by survey respondents and augmented with administrative data. Survey estimates are subject to sampling variability.",,,,,,,,,,,,
Resident Employed Households:,,,,,,,,,,,,
"Refers to households where the household reference person is a Singapore citizen or permanent resident and with at least one employed person. 
A household refers to (i) a group of two or more persons living together in the same house and sharing common food or other essential arrangements for living; or (ii) a person living alone or a person living with others but having his own food or other essential arrangements for living. Although persons may be living in the same house, they may not be members of the same household.",,,,,,,,,,,,
Resident Households:,,,,,,,,,,,,
"Refer to households where the household reference person is a Singapore citizen or permanent resident.
A household refers to (i) a group of two or more persons living together in the same house and sharing common food or other essential arrangements for living; or (ii) a person living alone or a person living with others but having his own food or other essential arrangements for living. Although persons may be living in the same house, they may not be members of the same household.",,,,,,,,,,,,
,,,,,,,,,,,,
Notation:,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,
Notes,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,
,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,
Date generated: 13/07/2025,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,
